"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,32,329,6445,410,6000,6,"2023-11-20.20.26.18"
2959,6900,17,1164,2028,12,4000,152,"2023-11-20.20.26.18"
2959,6900,19,191,1825,6,2000,6,"2023-11-20.20.26.18"
2959,6900,19,191,1825,6,3000,11,"2023-11-20.20.26.18"
2959,6900,19,191,1825,6,4000,9,"2023-11-20.20.26.18"
2959,6900,19,196,1821,400,4000,5,"2023-11-20.20.26.18"
2959,6900,33,338,6979,903,6,16,"2023-11-20.20.26.18"
2959,6900,33,338,6979,903,8,24,"2023-11-20.20.26.18"
2959,6900,33,338,6979,903,10,16,"2023-11-20.20.26.18"
2959,6900,33,338,6979,903,12,6,"2023-11-20.20.26.18"
2959,6900,33,338,6979,903,14,10,"2023-11-20.20.26.18"
2959,6900,33,338,6979,903,18,7,"2023-11-20.20.26.18"
2959,6900,33,338,7067,404,2,7,"2023-11-20.20.26.18"
2959,6900,33,338,7067,404,4,8,"2023-11-20.20.26.18"
2959,6900,33,338,7067,404,8,7,"2023-11-20.20.26.18"
2959,6900,33,338,7067,404,10,5,"2023-11-20.20.26.18"
2959,6900,33,338,7067,372,2,7,"2023-11-20.20.26.18"
2959,6900,33,338,7067,372,4,8,"2023-11-20.20.26.18"
2959,6900,33,338,7067,372,6,9,"2023-11-20.20.26.18"
2959,6900,33,338,7067,372,8,7,"2023-11-20.20.26.18"
2959,6900,33,338,7067,372,10,5,"2023-11-20.20.26.18"
2959,6900,43,436,4701,670,7006,5,"2023-11-20.20.26.18"
2959,6900,34,1340,9668,410,5000,6,"2023-11-20.20.26.18"
2959,6900,43,1436,3795,421,8008,46,"2023-11-20.20.26.18"
2959,6900,43,1436,3795,421,8101,38,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,7004,7,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,7006,8,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,7008,8,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8002,33,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8004,32,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8006,36,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8008,16,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8010,6,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8012,7,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8014,13,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,8101,28,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,9002,5,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,9004,7,"2023-11-20.20.26.18"
2959,6900,43,436,3789,583,9006,6,"2023-11-20.20.26.18"
